suite,case,performance_eligible,diagnostic_timings_discarded,parity_role,report,label,kind,n_prompt,n_gen,requested_output_tokens,target,weights_id,artifact_path,artifact_file_size_bytes,artifact_sha256,max_context,kv_capacity,kv_capacity_mode,kv_capacity_page_groups,kv_capacity_max_page_groups,kv_capacity_measurement_kind,kv_capacity_binding_constraint,kv_capacity_uncensored,memory_limited_capacity_tokens,resolved_effective_maximum_tokens,prefill_chunk,concurrency,pending_timeout_ms,kv_cache_format,kv_value_group,kv_plane_layouts,q4_activation_bits,q4_prefill_cta_profile,w8_activation_bits,fp8_qk_wmma_enabled,fp8_qk_wmma_profile,fp8_qk_wmma_t1_min_context,fp8_qk_wmma_t2_min_context,xattention_qualification,xattention_profile,xattention_find_block,xattention_stride,xattention_tau_permille,spec,draft_tokens,dflash_verify_width_requested,dflash_verify_width,dflash_topology,proposal_head,decode_path,decode_graph_primed,decode_graph_prime_output_tokens,repetitions,warmup,retain_token_ids,isolate_prompt_decode,load_seconds,upload_seconds,artifact_bytes_read,host_to_device_bytes,peak_staging_bytes,kv_payload_bytes,weights_capacity_bytes,sequence_capacity_bytes,workspace_capacity_bytes,request_transient_capacity_bytes,device_graph_allowance_bytes,device_graph_observed_bytes,minimum_runtime_reservation_bytes,kv_capacity_increment_bytes,runtime_reservation_bytes,available_after_weights_bytes,available_after_startup_bytes,kv_capacity_headroom_bytes,planned_slack_bytes,workspace_peak_bytes,workspace_allocator_peak_bytes,prefill_tok_s_mean,prefill_tok_s_stddev,decode_output_tok_s_mean,decode_output_tok_s_stddev,decode_engine_tok_s_mean,decode_engine_tok_s_stddev,whole_output_tok_s_mean,whole_output_tok_s_stddev,prepare_seconds_mean,prefill_seconds_mean,decode_seconds_mean,total_seconds_mean,spec_acceptance_rate,spec_acceptance_length,spec_rounds,spec_drafted_tokens,spec_accepted_tokens,spec_fallback_steps,spec_accepted_per_position,gpu_name,architecture_name,hip_runtime_version,hip_driver_version,device_id
pareto_effective_capacity,effective_capacity_ordinary,True,False,,/ssdpool2nvme/local_llm/ninfer-amd-r9700/profiles/bench/r9700-terminal-base-panel-attention-20260921/capacity/mixed_xattention-g32/json/pareto_effective_capacity/c1/effective_capacity_ordinary.json,pp128,pp,128,0,1,qwen3_8_27b_r9700,r9700-q4-w8-mse-n16k16-eval,/ssdpool2nvme/local_llm/ninfer-amd-r9700/out/qwen3.8-27b-r9700-q4-w8-mse-n16k16-eval.ninfer,22881204736,b021b71f70790215ccd9a287195c69b94f7c5ebf9ac0b9bb90bd62c3f09b3bcc,262144,262144,auto,4096,4096,resolved_effective_maximum,model_context,True,,262144,2048,1,4294967295,fp8-k-int4-v,32,"{'key': 'token-fastest-head-major', 'value': 'feature-fastest-page-major', 'value_scale': 'feature-fastest-page-major'}",8,m64n128-pingpong-n16-k16-scalar-base-production,8,True,t1-ge64-t2-ge320-t3plus-stream-v1,64,320,True,b128-s16-tau900,128,16,900,none,0,0,0,,full,device_graph,False,0,1,0,False,False,7.83421396,6.7189282,21706957113,21694111744,268435456,6710886400,21694117888,7079662336,774653440,0,71303168,54525952,7925618944,0,7925618944,12285116416,4374659072,1073741824,4359497472,774653440,16565248,96.1660111,0,,,,,,,2.62e-06,1.331031604,,1.331106104,,,0,0,0,0,[],AMD Radeon AI PRO R9700,gfx1201,7.15.26333,7.15.26333,0
pareto_effective_capacity,effective_capacity_ordinary,True,False,,/ssdpool2nvme/local_llm/ninfer-amd-r9700/profiles/bench/r9700-terminal-base-panel-attention-20260921/capacity/mixed_xattention-g32/json/pareto_effective_capacity/c2/effective_capacity_ordinary.json,pp128,pp,128,0,1,qwen3_8_27b_r9700,r9700-q4-w8-mse-n16k16-eval,/ssdpool2nvme/local_llm/ninfer-amd-r9700/out/qwen3.8-27b-r9700-q4-w8-mse-n16k16-eval.ninfer,22881204736,b021b71f70790215ccd9a287195c69b94f7c5ebf9ac0b9bb90bd62c3f09b3bcc,262144,376384,auto,5881,8192,resolved_effective_maximum,device_memory,True,376384,376384,2048,2,4294967295,fp8-k-int4-v,32,"{'key': 'token-fastest-head-major', 'value': 'feature-fastest-page-major', 'value_scale': 'feature-fastest-page-major'}",8,m64n128-pingpong-n16-k16-scalar-base-production,8,True,t1-ge64-t2-ge320-t3plus-stream-v1,64,320,True,b128-s16-tau900,128,16,900,none,0,0,0,,full,device_graph,False,0,1,0,False,False,7.702286228,6.048892495,21706957113,21694111744,268435456,9635430400,21694117888,10313630464,774653440,0,121634816,85983232,8285374720,1638400,11209918720,12285116416,1109393408,1073741824,1075197696,774653440,16565248,221.0503186,0,,,,,,,2.62e-06,1.158107356,,2.313152455,,,0,0,0,0,[],AMD Radeon AI PRO R9700,gfx1201,7.15.26333,7.15.26333,0
pareto_effective_capacity,effective_capacity_ordinary,True,False,,/ssdpool2nvme/local_llm/ninfer-amd-r9700/profiles/bench/r9700-terminal-base-panel-attention-20260921/capacity/mixed_xattention-g32/json/pareto_effective_capacity/c3/effective_capacity_ordinary.json,pp128,pp,128,0,1,qwen3_8_27b_r9700,r9700-q4-w8-mse-n16k16-eval,/ssdpool2nvme/local_llm/ninfer-amd-r9700/out/qwen3.8-27b-r9700-q4-w8-mse-n16k16-eval.ninfer,22881204736,b021b71f70790215ccd9a287195c69b94f7c5ebf9ac0b9bb90bd62c3f09b3bcc,262144,362368,auto,5662,12288,resolved_effective_maximum,device_memory,True,362368,362368,2048,3,4294967295,fp8-k-int4-v,32,"{'key': 'token-fastest-head-major', 'value': 'feature-fastest-page-major', 'value_scale': 'feature-fastest-page-major'}",8,m64n128-pingpong-n16-k16-scalar-base-production,8,True,t1-ge64-t2-ge320-t3plus-stream-v1,64,320,True,b128-s16-tau900,128,16,900,none,0,0,0,,full,device_graph,False,0,1,0,False,False,8.545588861,6.211982116,21706957113,21694111744,268435456,9276620800,21694117888,10264244992,774653440,0,171966464,119537664,8645130496,1638400,11210864896,12285116416,1124073472,1073741824,1074251520,774653440,16565248,294.2496273,0,,,,,,,2.53e-06,1.305014397,,3.644070716,,,0,0,0,0,[],AMD Radeon AI PRO R9700,gfx1201,7.15.26333,7.15.26333,0
pareto_effective_capacity,effective_capacity_ordinary,True,False,,/ssdpool2nvme/local_llm/ninfer-amd-r9700/profiles/bench/r9700-terminal-base-panel-attention-20260921/capacity/mixed_xattention-g32/json/pareto_effective_capacity/c4/effective_capacity_ordinary.json,pp128,pp,128,0,1,qwen3_8_27b_r9700,r9700-q4-w8-mse-n16k16-eval,/ssdpool2nvme/local_llm/ninfer-amd-r9700/out/qwen3.8-27b-r9700-q4-w8-mse-n16k16-eval.ninfer,22881204736,b021b71f70790215ccd9a287195c69b94f7c5ebf9ac0b9bb90bd62c3f09b3bcc,262144,348288,auto,5442,16384,resolved_effective_maximum,device_memory,True,348288,348288,2048,4,4294967295,fp8-k-int4-v,32,"{'key': 'token-fastest-head-major', 'value': 'feature-fastest-page-major', 'value_scale': 'feature-fastest-page-major'}",8,m64n128-pingpong-n16-k16-scalar-base-production,8,True,t1-ge64-t2-ge320-t3plus-stream-v1,64,320,True,b128-s16-tau900,128,16,900,none,0,0,0,,full,device_graph,False,0,1,0,False,False,14.34752305,11.20502113,21706957113,21694111744,268435456,8916172800,21694117888,10213221120,774653440,0,222298112,150994944,9004886272,1638400,11210172672,12285116416,1142947840,1073741824,1074943744,774653440,16565248,443.3292405,0,,,,,,,2.25e-06,1.15489788,,4.61185593,,,0,0,0,0,[],AMD Radeon AI PRO R9700,gfx1201,7.15.26333,7.15.26333,0
