suite,case,performance_eligible,diagnostic_timings_discarded,parity_role,report,label,kind,n_prompt,n_gen,requested_output_tokens,target,weights_id,artifact_path,artifact_file_size_bytes,artifact_sha256,max_context,kv_capacity,kv_capacity_mode,kv_capacity_page_groups,kv_capacity_max_page_groups,kv_capacity_measurement_kind,kv_capacity_binding_constraint,kv_capacity_uncensored,memory_limited_capacity_tokens,resolved_effective_maximum_tokens,prefill_chunk,concurrency,pending_timeout_ms,kv_cache_format,kv_value_group,kv_plane_layouts,q4_activation_bits,q4_prefill_cta_profile,w8_activation_bits,fp8_qk_wmma_enabled,fp8_qk_wmma_profile,fp8_qk_wmma_t1_min_context,fp8_qk_wmma_t2_min_context,xattention_qualification,xattention_profile,xattention_find_block,xattention_stride,xattention_tau_permille,spec,draft_tokens,dflash_verify_width_requested,dflash_verify_width,dflash_topology,proposal_head,decode_path,decode_graph_primed,decode_graph_prime_output_tokens,repetitions,warmup,retain_token_ids,isolate_prompt_decode,load_seconds,upload_seconds,artifact_bytes_read,host_to_device_bytes,peak_staging_bytes,kv_payload_bytes,weights_capacity_bytes,sequence_capacity_bytes,workspace_capacity_bytes,request_transient_capacity_bytes,device_graph_allowance_bytes,device_graph_observed_bytes,minimum_runtime_reservation_bytes,kv_capacity_increment_bytes,runtime_reservation_bytes,available_after_weights_bytes,available_after_startup_bytes,kv_capacity_headroom_bytes,planned_slack_bytes,workspace_peak_bytes,workspace_allocator_peak_bytes,prefill_tok_s_mean,prefill_tok_s_stddev,decode_output_tok_s_mean,decode_output_tok_s_stddev,decode_engine_tok_s_mean,decode_engine_tok_s_stddev,whole_output_tok_s_mean,whole_output_tok_s_stddev,prepare_seconds_mean,prefill_seconds_mean,decode_seconds_mean,total_seconds_mean,spec_acceptance_rate,spec_acceptance_length,spec_rounds,spec_drafted_tokens,spec_accepted_tokens,spec_fallback_steps,spec_accepted_per_position,gpu_name,architecture_name,hip_runtime_version,hip_driver_version,device_id
pareto_effective_capacity,effective_capacity_ordinary,True,False,,/ssdpool2nvme/local_llm/ninfer-amd-r9700/profiles/bench/r9700-terminal-base-panel-attention-20260921/capacity/mixed_dense-g32/json/pareto_effective_capacity/c1/effective_capacity_ordinary.json,pp128,pp,128,0,1,qwen3_8_27b_r9700,r9700-q4-w8-mse-n16k16-eval,/ssdpool2nvme/local_llm/ninfer-amd-r9700/out/qwen3.8-27b-r9700-q4-w8-mse-n16k16-eval.ninfer,22881204736,b021b71f70790215ccd9a287195c69b94f7c5ebf9ac0b9bb90bd62c3f09b3bcc,262144,262144,auto,4096,4096,resolved_effective_maximum,model_context,True,,262144,2048,1,4294967295,fp8-k-int4-v,32,"{'key': 'token-fastest-head-major', 'value': 'feature-fastest-page-major', 'value_scale': 'feature-fastest-page-major'}",8,m64n128-pingpong-n16-k16-scalar-base-production,8,True,t1-ge64-t2-ge320-t3plus-stream-v1,64,320,False,,,,,none,0,0,0,,full,device_graph,False,0,1,0,False,False,15.08408928,14.01262935,21706957113,21694111744,268435456,6710886400,21694117888,7079662336,608387072,0,71303168,54525952,7759352576,0,7759352576,12285116416,4540334080,1073741824,4525763840,608387072,16565248,107.1677498,0,,,,,,,2.07e-06,1.194389172,,1.194474213,,,0,0,0,0,[],AMD Radeon AI PRO R9700,gfx1201,7.15.26333,7.15.26333,0
pareto_effective_capacity,effective_capacity_ordinary,True,False,,/ssdpool2nvme/local_llm/ninfer-amd-r9700/profiles/bench/r9700-terminal-base-panel-attention-20260921/capacity/mixed_dense-g32/json/pareto_effective_capacity/c2/effective_capacity_ordinary.json,pp128,pp,128,0,1,qwen3_8_27b_r9700,r9700-q4-w8-mse-n16k16-eval,/ssdpool2nvme/local_llm/ninfer-amd-r9700/out/qwen3.8-27b-r9700-q4-w8-mse-n16k16-eval.ninfer,22881204736,b021b71f70790215ccd9a287195c69b94f7c5ebf9ac0b9bb90bd62c3f09b3bcc,262144,382912,auto,5983,8192,resolved_effective_maximum,device_memory,True,382912,382912,2048,2,4294967295,fp8-k-int4-v,32,"{'key': 'token-fastest-head-major', 'value': 'feature-fastest-page-major', 'value_scale': 'feature-fastest-page-major'}",8,m64n128-pingpong-n16-k16-scalar-base-production,8,True,t1-ge64-t2-ge320-t3plus-stream-v1,64,320,False,,,,,none,0,0,0,,full,device_graph,False,0,1,0,False,False,16.38722639,14.74650265,21706957113,21694111744,268435456,9802547200,21694117888,10480747264,608387072,0,121634816,85983232,8119108352,1638400,11210769152,12285116416,1107296256,1073741824,1074347264,608387072,16565248,221.0875348,0,,,,,,,2.51e-06,1.157912409,,2.308578113,,,0,0,0,0,[],AMD Radeon AI PRO R9700,gfx1201,7.15.26333,7.15.26333,0
pareto_effective_capacity,effective_capacity_ordinary,True,False,,/ssdpool2nvme/local_llm/ninfer-amd-r9700/profiles/bench/r9700-terminal-base-panel-attention-20260921/capacity/mixed_dense-g32/json/pareto_effective_capacity/c3/effective_capacity_ordinary.json,pp128,pp,128,0,1,qwen3_8_27b_r9700,r9700-q4-w8-mse-n16k16-eval,/ssdpool2nvme/local_llm/ninfer-amd-r9700/out/qwen3.8-27b-r9700-q4-w8-mse-n16k16-eval.ninfer,22881204736,b021b71f70790215ccd9a287195c69b94f7c5ebf9ac0b9bb90bd62c3f09b3bcc,262144,368832,auto,5763,12288,resolved_effective_maximum,device_memory,True,368832,368832,2048,3,4294967295,fp8-k-int4-v,32,"{'key': 'token-fastest-head-major', 'value': 'feature-fastest-page-major', 'value_scale': 'feature-fastest-page-major'}",8,m64n128-pingpong-n16-k16-scalar-base-production,8,True,t1-ge64-t2-ge320-t3plus-stream-v1,64,320,False,,,,,none,0,0,0,,full,device_graph,False,0,1,0,False,False,22.34406136,19.99361984,21706957113,21694111744,268435456,9442099200,21694117888,10429723392,608387072,0,171966464,119537664,8478864128,1638400,11210076928,12285116416,1124073472,1073741824,1075039488,608387072,16565248,319.3014098,0,,,,,,,2.73e-06,1.202625445,,3.495818805,,,0,0,0,0,[],AMD Radeon AI PRO R9700,gfx1201,7.15.26333,7.15.26333,0
pareto_effective_capacity,effective_capacity_ordinary,True,False,,/ssdpool2nvme/local_llm/ninfer-amd-r9700/profiles/bench/r9700-terminal-base-panel-attention-20260921/capacity/mixed_dense-g32/json/pareto_effective_capacity/c4/effective_capacity_ordinary.json,pp128,pp,128,0,1,qwen3_8_27b_r9700,r9700-q4-w8-mse-n16k16-eval,/ssdpool2nvme/local_llm/ninfer-amd-r9700/out/qwen3.8-27b-r9700-q4-w8-mse-n16k16-eval.ninfer,22881204736,b021b71f70790215ccd9a287195c69b94f7c5ebf9ac0b9bb90bd62c3f09b3bcc,262144,354816,auto,5544,16384,resolved_effective_maximum,device_memory,True,354816,354816,2048,4,4294967295,fp8-k-int4-v,32,"{'key': 'token-fastest-head-major', 'value': 'feature-fastest-page-major', 'value_scale': 'feature-fastest-page-major'}",8,m64n128-pingpong-n16-k16-scalar-base-production,8,True,t1-ge64-t2-ge320-t3plus-stream-v1,64,320,False,,,,,none,0,0,0,,full,device_graph,False,0,1,0,False,False,23.41088693,20.2308035,21706957113,21694111744,268435456,9083289600,21694117888,10380337920,608387072,0,222298112,150994944,8838619904,1638400,11211023104,12285116416,1142947840,1073741824,1074093312,608387072,16565248,409.3045869,0,,,,,,,3.17e-06,1.25090218,,4.719827154,,,0,0,0,0,[],AMD Radeon AI PRO R9700,gfx1201,7.15.26333,7.15.26333,0
